기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20191,A,골목상권,3110013,체부동홍종문가옥,87,57,30,0,11,25,20,19,12,0,2,18,14,13,10,0,9,7,6,6,2
20191,D,발달상권,3120062,신설동역,11307,4711,6596,32,1358,2643,3377,2575,1322,12,439,1343,1338,898,681,20,919,1300,2039,1677,641
20191,A,골목상권,3110023,서울대병원,131,46,85,3,34,16,27,33,18,2,7,6,9,10,12,1,27,10,18,23,6
20191,R,전통시장,3130011,충신시장,342,201,141,4,76,107,87,54,14,3,39,72,47,30,10,1,37,35,40,24,4
20191,R,전통시장,3130018,동대문문구완구거리(동대문문구완구시장),271,166,105,0,20,55,74,66,56,0,10,40,45,40,31,0,10,15,29,26,25
20191,A,골목상권,3110014,경복고등학교,184,63,121,1,52,35,35,34,27,1,11,10,15,14,12,0,41,25,20,20,15
20191,A,골목상권,3110010,평창동서측,376,149,227,2,54,48,54,109,109,2,13,23,26,42,43,0,41,25,28,67,66
20191,A,골목상권,3110001,이북5도청사,159,84,75,0,11,25,53,46,24,0,8,12,34,21,9,0,3,13,19,25,15
20191,A,골목상권,3110021,성균관대학교,340,156,184,0,69,76,58,62,75,0,23,37,25,24,47,0,46,39,33,38,28
20191,A,골목상권,3110020,서울국제고등학교,270,136,134,2,39,74,54,61,40,2,12,34,35,28,25,0,27,40,19,33,15
20191,D,발달상권,3120034,중구청(퇴계로4가),4501,2630,1871,14,399,959,1224,1200,705,6,144,441,701,830,508,8,255,518,523,370,197
20191,D,발달상권,3120035,퇴계로5가,2130,1470,660,2,320,587,647,381,193,0,166,392,489,286,137,2,154,195,158,95,56
20191,U,관광특구,3001493,동대문패션타운 관광특구,20370,10931,9439,48,4280,6953,4679,2908,1502,18,1975,3696,2761,1623,858,30,2305,3257,1918,1285,644
20191,D,발달상권,3120025,롯데백화점(시청광장 지하쇼핑센터),28044,9490,18554,202,13659,8529,3983,1483,188,64,3479,2720,2163,945,119,138,10180,5809,1820,538,69
20191,A,골목상권,3110051,한양공고앞 교차로,178,115,63,0,13,33,53,52,27,0,7,19,34,33,22,0,6,14,19,19,5
20191,R,전통시장,3130046,team204(팀204),110,58,52,0,21,31,14,21,23,0,3,17,7,14,17,0,18,14,7,7,6
20191,R,전통시장,3130050,청평화시장,3306,1376,1930,6,840,1379,659,283,139,5,353,590,248,115,65,1,487,789,411,168,74
20191,R,전통시장,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",1162,624,538,0,202,283,284,258,135,0,113,166,147,126,72,0,89,117,137,132,63
20191,D,발달상권,3120018,중림동,6123,3372,2751,11,938,1583,1558,1289,744,5,320,783,978,830,456,6,618,800,580,459,288
20191,A,골목상권,3110042,남산골공원옆,1456,909,547,6,232,426,420,265,107,3,90,262,297,189,68,3,142,164,123,76,39
20191,A,골목상권,3110039,회현역 1번,109,50,59,0,12,24,22,26,25,0,5,13,11,11,10,0,7,11,11,15,15
20191,A,골목상권,3110075,숙대입구역 1번,2104,1509,595,28,444,561,550,330,191,18,238,441,404,248,160,10,206,120,146,82,31
20191,A,골목상권,3110063,효창공원앞역 5번,844,528,316,1,63,186,221,169,204,0,33,129,146,97,123,1,30,57,75,72,81
20191,A,골목상권,3110080,해방촌예술마을,350,160,190,2,74,90,83,63,38,1,21,39,43,35,21,1,53,51,40,28,17
20191,A,골목상권,3110073,삼각지역 3번,2457,1842,615,3,226,501,588,687,452,3,118,374,501,515,331,0,108,127,87,172,121
20191,A,골목상권,3110061,효창동주민센터,777,450,327,1,85,181,265,193,52,0,38,102,158,114,38,1,47,79,107,79,14
20191,A,골목상권,3110117,성동구보건소,202,137,65,0,12,58,52,56,24,0,7,38,38,38,16,0,5,20,14,18,8
20191,A,골목상권,3110116,청계천박물관,5289,3843,1446,13,383,894,1245,1872,882,12,234,619,974,1358,646,1,149,275,271,514,236
20191,R,전통시장,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",217,110,107,4,39,45,54,45,30,3,26,27,22,20,12,1,13,18,32,25,18
20191,A,골목상권,3110128,성원중학교,1196,732,464,7,163,234,303,345,144,4,76,148,182,211,111,3,87,86,121,134,33
20191,D,발달상권,3120051,뚝섬역,19133,10007,9126,124,5134,6041,4237,2793,804,53,2338,3748,2446,972,450,71,2796,2293,1791,1821,354
20191,R,전통시장,3130070,뚝섬역상점가,3366,2229,1137,8,687,1072,898,467,234,4,322,736,626,359,182,4,365,336,272,108,52
20191,A,골목상권,3110136,경수초등학교,5743,3884,1859,25,1007,1485,1412,1224,590,19,529,1007,1009,851,469,6,478,478,403,373,121
20191,A,골목상권,3110132,성수2가3동주민센터,1193,818,375,1,205,295,312,239,141,1,118,210,220,156,113,0,87,85,92,83,28
20191,A,골목상권,3110102,옥수역 6번,280,148,132,2,61,66,65,58,28,1,27,35,36,34,15,1,34,31,29,24,13
20191,R,전통시장,3130066,행당시장상점가,877,428,449,6,177,196,226,167,105,2,51,102,112,93,68,4,126,94,114,74,37
